image_path,pred_label,prob_non_met,prob_stage4
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61217,y=24932,w=223,h=223].tif",non_met,0.7247317433357239,0.2752682566642761
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61217,y=25155,w=223,h=222].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61217,y=25377,w=223,h=223].tif",non_met,0.6700624227523804,0.32993754744529724
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61440,y=24710,w=223,h=222].tif",non_met,0.7247318625450134,0.2752681374549866
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61440,y=24932,w=223,h=223].tif",non_met,0.6970232129096985,0.3029767870903015
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61440,y=25155,w=223,h=222].tif",stage4,0.3457341492176056,0.654265820980072
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61440,y=25377,w=223,h=223].tif",stage4,0.45039796829223633,0.5496020317077637
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61663,y=24710,w=222,h=222].tif",non_met,0.7247315049171448,0.27526843547821045
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61663,y=24932,w=222,h=223].tif",non_met,0.7247313261032104,0.27526867389678955
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61663,y=25155,w=222,h=222].tif",non_met,0.525443434715271,0.4745565950870514
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61663,y=25377,w=222,h=223].tif",non_met,0.7247315645217896,0.2752683758735657
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61885,y=24487,w=223,h=223].tif",non_met,0.7204562425613403,0.2795436978340149
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61885,y=24710,w=223,h=222].tif",non_met,0.7247317433357239,0.2752683162689209
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61885,y=24932,w=223,h=223].tif",stage4,0.36261656880378723,0.6373834013938904
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61885,y=25155,w=223,h=222].tif",stage4,0.4246622920036316,0.5753377079963684
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=61885,y=25377,w=223,h=223].tif",stage4,0.4454210698604584,0.5545789003372192
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62108,y=24487,w=222,h=223].tif",non_met,0.6852390170097351,0.3147609233856201
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62108,y=24710,w=222,h=222].tif",non_met,0.5341954827308655,0.4658045172691345
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62108,y=24932,w=222,h=223].tif",stage4,0.2898145616054535,0.7101854085922241
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62108,y=25155,w=222,h=222].tif",stage4,0.3976905643939972,0.6023094058036804
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62108,y=25377,w=222,h=223].tif",non_met,0.6139048337936401,0.38609519600868225
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62330,y=24487,w=223,h=223].tif",stage4,0.27248314023017883,0.7275168299674988
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62330,y=24710,w=223,h=222].tif",non_met,0.7247319221496582,0.2752680778503418
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62330,y=24932,w=223,h=223].tif",non_met,0.7247310280799866,0.2752690017223358
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62330,y=25155,w=223,h=222].tif",stage4,0.344897985458374,0.6551020741462708
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62330,y=25377,w=223,h=223].tif",non_met,0.724731981754303,0.275268018245697
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62553,y=24487,w=223,h=223].tif",non_met,0.7247316241264343,0.2752683162689209
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62553,y=24710,w=223,h=222].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62553,y=24932,w=223,h=223].tif",non_met,0.724731981754303,0.2752680480480194
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62553,y=25155,w=223,h=222].tif",stage4,0.2769862115383148,0.7230138182640076
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62553,y=25377,w=223,h=223].tif",non_met,0.724731981754303,0.275268018245697
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62776,y=24487,w=222,h=223].tif",non_met,0.7121042013168335,0.2878957986831665
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62776,y=24710,w=222,h=222].tif",non_met,0.724731981754303,0.275268018245697
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62776,y=24932,w=222,h=223].tif",non_met,0.7241847515106201,0.2758152484893799
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62776,y=25155,w=222,h=222].tif",non_met,0.724731981754303,0.275268018245697
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62776,y=25377,w=222,h=223].tif",non_met,0.7246667146682739,0.2753332555294037
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62998,y=24264,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62998,y=24487,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62998,y=24710,w=223,h=222].tif",stage4,0.37857186794281006,0.6214280724525452
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62998,y=24932,w=223,h=223].tif",non_met,0.5881860256195068,0.41181400418281555
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=62998,y=25155,w=223,h=222].tif",non_met,0.724731981754303,0.275268018245697
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=63221,y=24264,w=222,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=63221,y=24487,w=222,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/170319890_HE/170319890_HE.vmic.svs - Series 0 [d=2.31884,x=63221,y=24710,w=222,h=222].tif",non_met,0.7242638468742371,0.2757361829280853
